,latitude,longitude
231,37.468319,-122.143936
232,53.557899,-113.487289
233,52.314224,4.941841
234,1.29027,103.851959
235,37.733795,-122.446747
236,45.815399,15.966568
237,39.056198,-95.695312
238,41.661129,-91.530167
239,40.73061,-73.935242
240,39.022774,-76.921753
241,34.052235,-118.243683
242,37.468319,-122.143936
243,37.733795,-122.446747
244,34.052235,-118.243683
245,48.210033,16.363449
246,52.370216,4.895168
247,43.073051,-89.40123
248,0.687796,122.97757
249,43.623409,-79.368683
250,37.733795,-122.446747
251,22.542883,114.062996
252,45.523064,-122.676483
253,37.733795,-122.446747
254,39.896042,-83.444595
255,40.73061,-73.935242
256,52.520008,13.404954
257,31.224361,121.46917
258,55.676098,12.568337
259,37.733795,-122.446747
260,40.440624,-79.995888
261,47.608013,-122.335167
262,37.733795,-122.446747
263,23.17926,77.454422
264,23.17926,77.454422
265,37.733795,-122.446747
266,37.468319,-122.143936
267,53.557899,-113.487289
268,52.314224,4.941841
269,1.29027,103.851959
270,37.733795,-122.446747
271,45.815399,15.966568
272,39.056198,-95.695312
273,41.661129,-91.530167
274,40.73061,-73.935242
275,39.022774,-76.921753
276,34.052235,-118.243683
277,37.468319,-122.143936
278,37.733795,-122.446747
279,34.052235,-118.243683
280,48.210033,16.363449
281,52.370216,4.895168
282,43.073051,-89.40123
283,0.687796,122.97757
284,43.623409,-79.368683
285,37.733795,-122.446747
286,22.542883,114.062996
287,45.523064,-122.676483
288,37.733795,-122.446747
289,39.896042,-83.444595
290,40.73061,-73.935242
291,52.520008,13.404954
292,31.224361,121.46917
293,55.676098,12.568337
294,37.733795,-122.446747
295,40.440624,-79.995888
296,47.608013,-122.335167
297,37.733795,-122.446747
298,23.17926,77.454422
299,23.17926,77.454422
300,37.733795,-122.446747
301,37.468319,-122.143936
302,53.557899,-113.487289
303,52.314224,4.941841
304,1.29027,103.851959
305,37.733795,-122.446747
306,45.815399,15.966568
307,39.056198,-95.695312
308,41.661129,-91.530167
309,40.73061,-73.935242
310,39.022774,-76.921753
311,34.052235,-118.243683
312,37.468319,-122.143936
313,37.733795,-122.446747
314,34.052235,-118.243683
315,48.210033,16.363449
316,52.370216,4.895168
317,43.073051,-89.40123
318,0.687796,122.97757
319,43.623409,-79.368683
320,37.733795,-122.446747
321,22.542883,114.062996
322,45.523064,-122.676483
323,37.733795,-122.446747
324,39.896042,-83.444595
325,40.73061,-73.935242
326,52.520008,13.404954
327,31.224361,121.46917
328,55.676098,12.568337
329,37.733795,-122.446747
330,40.440624,-79.995888
331,47.608013,-122.335167
332,37.733795,-122.446747
333,23.17926,77.454422
334,23.17926,77.454422
335,37.733795,-122.446747
336,37.468319,-122.143936
337,53.557899,-113.487289
338,52.314224,4.941841
339,1.29027,103.851959
340,37.733795,-122.446747
341,45.815399,15.966568
342,39.056198,-95.695312
343,41.661129,-91.530167
344,40.73061,-73.935242
345,39.022774,-76.921753
346,34.052235,-118.243683
347,37.468319,-122.143936
348,37.733795,-122.446747
349,34.052235,-118.243683
350,48.210033,16.363449
351,52.370216,4.895168
352,43.073051,-89.40123
353,0.687796,122.97757
354,43.623409,-79.368683
355,37.733795,-122.446747
356,22.542883,114.062996
357,45.523064,-122.676483
358,37.733795,-122.446747
359,39.896042,-83.444595
360,40.73061,-73.935242
361,52.520008,13.404954
362,31.224361,121.46917
363,55.676098,12.568337
364,37.733795,-122.446747
365,40.440624,-79.995888
366,47.608013,-122.335167
367,37.733795,-122.446747
368,23.17926,77.454422
369,23.17926,77.454422
370,37.733795,-122.446747
371,37.468319,-122.143936
372,53.557899,-113.487289
373,52.314224,4.941841
374,1.29027,103.851959
375,37.733795,-122.446747
376,45.815399,15.966568
377,39.056198,-95.695312
378,41.661129,-91.530167
379,40.73061,-73.935242
380,39.022774,-76.921753
381,34.052235,-118.243683
382,37.468319,-122.143936
383,37.733795,-122.446747
384,34.052235,-118.243683
385,48.210033,16.363449
386,52.370216,4.895168
387,43.073051,-89.40123
388,0.687796,122.97757
389,43.623409,-79.368683
390,37.733795,-122.446747
391,22.542883,114.062996
392,45.523064,-122.676483
393,37.733795,-122.446747
394,39.896042,-83.444595
395,40.73061,-73.935242
396,52.520008,13.404954
397,31.224361,121.46917
