,latitude,longitude
0,37.733795,-122.446747
1,40.650002,-73.949997
2,37.424107,-122.166077
3,40.73061,-73.935242
4,34.746483,-92.289597
5,23.17926,77.454422
6,23.17926,77.454422
7,43.073051,-89.40123
8,37.386051,-122.083855
9,47.608013,-122.335167
10,37.386051,-122.083855
11,36.174465,-86.76796
12,39.01405,-77.065674
13,37.733795,-122.446747
14,37.733795,-122.446747
15,40.764275,-73.962799
16,37.733795,-122.446747
17,39.01405,-77.065674
18,33.227345,-97.128113
19,45.523064,-122.676483
20,42.28093,-71.237755
21,32.146549,-96.870232
22,35.791538,-78.78112
23,48.864716,2.349014
24,47.608013,-122.335167
25,37.733795,-122.446747
26,53.35014,-6.266155
27,37.386051,-122.083855
28,39.022774,-76.921753
29,48.864716,2.349014
30,37.733795,-122.446747
31,47.608013,-122.335167
32,22.302219,114.174637
33,-1.619644,13.601546
34,59.911491,10.757933
35,37.733795,-122.446747
36,38.544907,-121.740517
37,37.733795,-122.446747
38,38.301792,-76.511192
39,23.17926,77.454422
40,37.733795,-122.446747
41,37.733795,-122.446747
42,41.881832,-87.623177
43,38.301792,-76.511192
44,39.022774,-76.921753
45,23.17926,77.454422
46,37.733795,-122.446747
47,23.17926,77.454422
48,55.676098,12.568337
49,37.733795,-122.446747
50,40.440624,-79.995888
51,47.608013,-122.335167
52,37.733795,-122.446747
53,23.17926,77.454422
54,23.17926,77.454422
55,37.733795,-122.446747
56,37.468319,-122.143936
57,53.557899,-113.487289
58,52.314224,4.941841
59,1.29027,103.851959
60,37.733795,-122.446747
61,45.815399,15.966568
62,39.056198,-95.695312
63,41.661129,-91.530167
64,40.73061,-73.935242
65,39.022774,-76.921753
66,34.052235,-118.243683
67,37.468319,-122.143936
68,37.733795,-122.446747
69,34.052235,-118.243683
70,48.210033,16.363449
71,52.370216,4.895168
72,43.073051,-89.40123
73,0.687796,122.97757
74,43.623409,-79.368683
75,37.733795,-122.446747
76,22.542883,114.062996
77,45.523064,-122.676483
78,37.733795,-122.446747
79,39.896042,-83.444595
80,40.73061,-73.935242
81,52.520008,13.404954
82,31.224361,121.46917
83,55.676098,12.568337
84,37.733795,-122.446747
85,40.440624,-79.995888
86,47.608013,-122.335167
87,37.733795,-122.446747
88,23.17926,77.454422
89,23.17926,77.454422
90,37.733795,-122.446747
91,37.468319,-122.143936
92,53.557899,-113.487289
93,52.314224,4.941841
94,1.29027,103.851959
95,37.733795,-122.446747
96,45.815399,15.966568
97,39.056198,-95.695312
98,41.661129,-91.530167
99,40.73061,-73.935242
100,39.022774,-76.921753
101,34.052235,-118.243683
102,37.468319,-122.143936
103,37.733795,-122.446747
104,34.052235,-118.243683
105,48.210033,16.363449
106,52.370216,4.895168
107,43.073051,-89.40123
108,0.687796,122.97757
109,43.623409,-79.368683
110,37.733795,-122.446747
111,22.542883,114.062996
112,45.523064,-122.676483
113,37.733795,-122.446747
114,39.896042,-83.444595
115,40.73061,-73.935242
116,52.520008,13.404954
117,31.224361,121.46917
118,55.676098,12.568337
119,37.733795,-122.446747
120,40.440624,-79.995888
121,47.608013,-122.335167
122,37.733795,-122.446747
123,23.17926,77.454422
124,23.17926,77.454422
125,37.733795,-122.446747
126,37.468319,-122.143936
127,53.557899,-113.487289
128,52.314224,4.941841
129,1.29027,103.851959
